project_name,workflow_id,workflow_name,workflow_complexity,workflow_category,workflow_steps,expected_semantic_oracle
JPetStore 6,JPS-WF01,Welcome to main catalog,Basic,Navigation,"Open welcome page; click Enter the Store; verify main catalog page shows Fish, Dogs, Reptiles, Cats, and Birds.","Main catalog page must load and display Fish, Dogs, Reptiles, Cats, and Birds. "
JPetStore 6,JPS-WF02,Fish category product listing,Basic,Category,"Open welcome page; enter store; click Fish category; verify Angelfish, Tiger Shark, Koi, and Goldfish.","Fish category page must show Angelfish, Tiger Shark, Koi, and Goldfish. "
JPetStore 6,JPS-WF03,Dogs category product listing,Basic,Category,"Open welcome page; enter store; click Dogs category; verify Bulldog, Poodle, Dalmation, Golden Retriever, Labrador Retriever, and Chihuahua.","Dogs category page must show Bulldog, Poodle, Dalmation, Golden Retriever, Labrador Retriever, and Chihuahua. "
JPetStore 6,JPS-WF04,Cats category product listing,Basic,Category,Open welcome page; enter store; click Cats category; verify Manx and Persian.,Cats category page must show Manx and Persian. 
JPetStore 6,JPS-WF05,Birds category product listing,Basic,Category,Open welcome page; enter store; click Birds category; verify Amazon Parrot and Finch.,Birds category page must show Amazon Parrot and Finch. 
JPetStore 6,JPS-WF06,Reptiles category product listing,Basic,Category,Open welcome page; enter store; click Reptiles category; verify Rattlesnake and Iguana.,Reptiles category page must show Rattlesnake and Iguana. 
JPetStore 6,JPS-WF07,Fish product detail navigation,Medium,Product Detail,Enter store; open Fish category; click Angelfish product; verify Angelfish product detail page and item links.,Angelfish product detail page must load with correct product name and item links. 
JPetStore 6,JPS-WF08,Item detail navigation,Medium,Product Detail,Enter store; open Fish category; click Angelfish product; click an Angelfish item ID; verify item page contains item details and Add to Cart.,Item detail page must contain selected item information and Add to Cart option. 
JPetStore 6,JPS-WF09,Search valid keyword Fish,Medium,Search,Enter store; search for Fish; verify search results contain fish-related products.,Search results must contain fish-related products and must not be empty. 
JPetStore 6,JPS-WF10,Search valid keyword Dog,Medium,Search,Enter store; search for Dog; verify search results contain dog-related products.,Search results must contain dog-related products and must not be empty. 
JPetStore 6,JPS-WF11,Search invalid keyword,Medium,Search,Enter store; search for invalid keyword XYZNORESULT123; verify application handles no-result search correctly.,Application must handle no-result search correctly without displaying unrelated products. 
JPetStore 6,JPS-WF12,Add Angelfish item to cart,Medium,Cart,Enter store; open Fish category; open Angelfish product; open an Angelfish item; click Add to Cart; verify cart contains selected Angelfish item.,Shopping cart must contain the selected Angelfish item after Add to Cart. 
JPetStore 6,JPS-WF13,Add Bulldog item to cart,Medium,Cart,Enter store; open Dogs category; open Bulldog product; open a Bulldog item; click Add to Cart; verify cart contains selected Bulldog item.,Shopping cart must contain the selected Bulldog item after Add to Cart. 
JPetStore 6,JPS-WF14,Update cart quantity,Complex,Cart,Add one item to cart; change quantity to 2; click Update Cart; verify quantity is updated and cart remains correct.,Cart must show updated quantity as 2 and must remain on correct shopping cart page. 
JPetStore 6,JPS-WF15,Remove item from cart,Medium,Cart,Add one item to cart; remove the item from cart; verify item is no longer present or cart is empty.,Removed item must not appear in the shopping cart. 
JPetStore 6,JPS-WF16,Continue shopping from cart,Medium,Cart Navigation,Add one item to cart; click Continue Shopping; verify user returns to catalog or shopping flow.,Continue Shopping must return user to the catalog or previous shopping flow. 
JPetStore 6,JPS-WF17,Add two items from same category,Complex,Cart,Add Angelfish item to cart; return to Fish category; add Goldfish item to cart; verify both items appear in cart.,Shopping cart must contain both selected fish items. 
JPetStore 6,JPS-WF18,Add items from multiple categories,Complex,Cart,Add one Fish item to cart; continue shopping; add one Dog item to cart; verify both items appear in cart.,Shopping cart must contain items from both Fish and Dogs categories. 
JPetStore 6,JPS-WF19,Sign in page navigation,Medium,Account,Enter store; click Sign In; verify login form fields and login button are present.,Sign In page must show username field password field and login control. 
JPetStore 6,JPS-WF20,Login with valid seeded user,Complex,Account,Open Sign In page; login using valid seeded account if available; verify signed-in state is visible.,After valid login the application must show signed-in state or account-specific navigation. 
JPetStore 6,JPS-WF21,Login with invalid credentials,Complex,Account,Open Sign In page; submit invalid username and password; verify authentication failure behavior.,Invalid login must not sign in and must show failure behavior or remain on Sign In page. 
JPetStore 6,JPS-WF22,Sign out after login,Complex,Account,Login with valid user; click Sign Out; verify anonymous state or Sign In link appears.,After Sign Out the user must no longer be authenticated. 
JPetStore 6,JPS-WF23,Navigate to My Account,Complex,Account,Login with valid user; click My Account; verify account or profile page loads with account information fields.,My Account page must load after login and display account information. 
JPetStore 6,JPS-WF24,Checkout requires login,Complex,Checkout,Add item to cart; click Proceed to Checkout without login; verify application redirects to Sign In page.,Checkout must require authentication and redirect unauthenticated user to Sign In page. 
JPetStore 6,JPS-WF25,Checkout after login,Complex,Checkout,Login with valid user; add item to cart; proceed to checkout; verify payment or order form page loads.,Checkout form must load after login and cart item must be preserved. 
JPetStore 6,JPS-WF26,Complete checkout order confirmation,High,Checkout,Login with valid user; add item to cart; proceed through checkout; confirm order; verify order confirmation page.,Order confirmation page must be reached and must contain order confirmation details. 
JPetStore 6,JPS-WF27,Checkout with different shipping address,High,Checkout,Login with valid user; add item to cart; proceed to checkout; choose different shipping address if available; enter shipping details; confirm order.,Order must use shipping address flow and reach confirmation page. 
JPetStore 6,JPS-WF28,Multi-item checkout,High,Checkout,Login with valid user; add two different items to cart; proceed through checkout; verify both items appear in order confirmation.,Final order confirmation must include both selected items. 
