workflow_id,workflow_name,workflow_complexity,workflow_category,workflow_steps,expected_semantic_oracle
SPC-WF01,Open home page and verify main navigation,Low,Navigation,"Open home page; verify Home page loads; verify navigation links Owners, Veterinarians, Error are visible","Home page should load successfully and display PetClinic navigation links including Owners, Veterinarians, and Error."
SPC-WF02,Open owners search page,Low,Owner Search,Open home page; click Find Owners; verify owner search page is displayed,Find Owners page should be displayed with Last name search field and Find Owner button.
SPC-WF03,Search all owners using empty last name,Medium,Owner Search,Open Find Owners page; leave Last name blank; click Find Owner; verify owners list page is displayed,Submitting empty last name should display owners list or search results page containing owner records.
SPC-WF04,Search owner by valid last name Davis,Medium,Owner Search,Open Find Owners page; enter Davis in Last name; click Find Owner; verify owner details or results contain Davis,Search for Davis should return matching owner information containing last name Davis.
SPC-WF05,Search owner by invalid last name,Medium,Owner Search,Open Find Owners page; enter invalid last name ZZZUnknown; click Find Owner; verify no-owner result or not found behavior,Invalid owner search should not return unrelated owners and should display no matching owner result or remain on search with appropriate message.
SPC-WF06,Open add owner form,Low,Owner Management,Open Find Owners page; click Add Owner; verify New Owner form fields,"New Owner page should display fields First Name, Last Name, Address, City, Telephone and Add Owner button."
SPC-WF07,Add owner with valid details,High,Owner Management,Open Add Owner form; enter valid owner details; submit form; verify owner details page,"A new owner should be created and owner details page should display the submitted first name, last name, address, city, and telephone."
SPC-WF08,Add owner with missing first name validation,Medium,Validation,Open Add Owner form; leave First Name blank; fill other fields; submit; verify validation error,System should prevent saving and show validation error for missing First Name.
SPC-WF09,Add owner with missing last name validation,Medium,Validation,Open Add Owner form; fill first name; leave Last Name blank; fill other fields; submit; verify validation error,System should prevent saving and show validation error for missing Last Name.
SPC-WF10,Add owner with invalid telephone validation,Medium,Validation,Open Add Owner form; enter non-numeric or invalid telephone; submit; verify validation error,System should prevent saving owner and display validation error for invalid Telephone.
SPC-WF11,View existing owner details,Medium,Owner Management,Open Find Owners page; search Davis; open matching owner; verify owner details section,"Owner details page should show owner information, pets, and visits section for the selected owner."
SPC-WF12,Open edit owner form,Medium,Owner Management,Open existing owner details page; click Edit Owner; verify edit owner form is displayed,Edit Owner page should display existing owner data in editable fields.
SPC-WF13,Edit owner city with valid value,High,Owner Management,Open owner details; click Edit Owner; change City value; submit; verify updated owner details,Updated city should be saved and visible on owner details page.
SPC-WF14,Open add new pet form for owner,Medium,Pet Management,Open existing owner details; click Add New Pet; verify pet form fields,"New Pet form should show fields Name, Birth Date, Type and Add Pet button for the selected owner."
SPC-WF15,Add new pet with valid details,High,Pet Management,"Open owner details; click Add New Pet; enter pet name, birth date, type; submit; verify pet appears in owner details","New pet should be added and displayed in the owner details pets section with correct name, birth date, and type."
SPC-WF16,Add pet with missing name validation,Medium,Validation,Open Add New Pet form; leave pet name blank; enter other valid details; submit; verify validation error,System should prevent saving pet and show validation error for missing pet name.
SPC-WF17,Add pet with missing birth date validation,Medium,Validation,Open Add New Pet form; enter pet name; leave birth date blank; select type; submit; verify validation error,System should prevent saving pet and show validation error for missing birth date.
SPC-WF18,Open edit pet form,Medium,Pet Management,Open owner details; click Edit Pet for an existing pet; verify edit pet form,"Edit Pet form should display selected pet details with editable name, birth date, and type fields."
SPC-WF19,Edit pet name with valid value,High,Pet Management,Open Edit Pet form; change pet name; submit; verify updated pet name in owner details,Updated pet name should be saved and visible in owner details.
SPC-WF20,Open add visit form for pet,Medium,Visit Management,Open owner details; click Add Visit for an existing pet; verify New Visit form,New Visit form should display visit date and description fields for the selected pet.
SPC-WF21,Add visit with valid details,High,Visit Management,Open Add Visit form; enter valid date and description; submit; verify visit appears in owner details,Visit should be added and displayed under the selected pet with correct date and description.
SPC-WF22,Add visit with missing description validation,Medium,Validation,Open Add Visit form; enter date; leave description blank; submit; verify validation error,System should prevent saving visit and show validation error for missing description.
SPC-WF23,Add visit with missing date validation,Medium,Validation,Open Add Visit form; leave date blank; enter description; submit; verify validation error,System should prevent saving visit and show validation error for missing date.
SPC-WF24,Open veterinarians page,Low,Veterinarian,Open home page; click Veterinarians; verify veterinarians page is displayed,Veterinarians page should display a list/table of veterinarians and their specialties.
SPC-WF25,Verify veterinarian specialties are shown,Medium,Veterinarian,Open Veterinarians page; verify veterinarian names and specialties are visible,Veterinarian list should show doctor names and specialty information where available.
SPC-WF26,Open error page,Low,Error Handling,Open home page; click Error link; verify error page or error response behavior,Application should navigate to error route and display an error page/response without breaking the test environment.
SPC-WF27,Verify owner search page navigation back to home,Low,Navigation,Open Find Owners page; click Home; verify home page is displayed,Clicking Home from Find Owners page should return to PetClinic home page.
SPC-WF28,Verify veterinarians page navigation back to home,Low,Navigation,Open Veterinarians page; click Home; verify home page is displayed,Clicking Home from Veterinarians page should return to PetClinic home page.
SPC-WF29,Search owner and open pet visit history,High,Visit Management,Search existing owner; open owner details; verify pet section includes visits/history area,Owner details should show pet information and visit history area for existing pets.
SPC-WF30,End-to-end owner pet visit workflow,High,End-to-End,"Add new owner; add new pet for that owner; add visit for that pet; verify owner details show owner, pet, and visit","Complete workflow should create owner, pet, and visit successfully, and final owner details should display all created information."
