workflow_id,workflow_name,workflow_complexity,workflow_category,workflow_steps,expected_semantic_oracle
BS-WF01,Open home page and verify landing content,Simple,Navigation,Open /; verify BookStore home page loads; verify Login and Registration/User navigation options are visible,Home page should load successfully and show main navigation options.
BS-WF02,Open login page,Simple,Authentication,Open /Login; verify login form is displayed; verify username/password fields and submit button are visible,Login page should display form controls required for user/admin login.
BS-WF03,Login with empty credentials,Medium,Authentication Validation,Open /Login; submit the form without username and password,Application should remain on login page or show validation/error message without opening user/admin home.
BS-WF04,Login with invalid credentials,Medium,Authentication Validation,Open /Login; enter invalid username and password; submit login form,Application should reject invalid credentials and should not navigate to protected user/admin pages.
BS-WF05,Open user registration page,Simple,Registration,Open /User_Registration; verify registration form is visible,Registration page should show fields for creating a user account.
BS-WF06,Submit empty registration form,Medium,Registration Validation,Open /User_Registration; submit form without filling required fields,Application should show validation/error behavior or remain on registration page.
BS-WF07,Register new user with valid details,Complex,Registration,Open /User_Registration; fill valid user details; submit registration form,New user should be saved or application should show successful registration/navigation response.
BS-WF08,Open user home page,Simple,User Navigation,Open /User_Home; verify user dashboard or user view page loads,User home page should load and display user navigation options.
BS-WF09,Open user books page,Simple,Book Browsing,Open /User_Books; verify list/search area for books is displayed,User books page should display available book browsing functionality.
BS-WF10,Search book with empty input,Medium,Book Search Validation,Open /User_Books or /user_search_Book; submit search without book name/details,Application should handle empty search safely and not crash.
BS-WF11,Search book with valid title keyword,Medium,Book Search,Open user book search page; enter a valid/common book keyword; submit search,Search result page should display matching book details or safe no-result message.
BS-WF12,Search book with invalid title keyword,Medium,Book Search,Open user book search page; enter an invalid random book keyword; submit search,Application should show no matching books or remain stable without server error.
BS-WF13,Open user book details page,Medium,Book Details,Open /User_Book_Details or navigate from user book list to book details,"Book details page should display book information such as name, author, price, or category."
BS-WF14,Rate a book workflow,Complex,Book Rating,Open user book details; select or enter rating; submit rating using /user_Rate_Book,Application should accept rating or show safe validation behavior.
BS-WF15,Open buy book page,Medium,Book Purchase,Open /User_Buy_Book; verify buy book page/form is displayed,Buy book page should display fields/options required for purchase.
BS-WF16,Search book for buying,Medium,Book Purchase Search,Open /User_Buy_Book; search for a book using /user_Search_Buy_Book,Application should display matching book purchase option or no-result message.
BS-WF17,Submit buy book form with empty details,Medium,Purchase Validation,Open /User_Buy_Book; submit buy/save form without required details,Application should show validation behavior or avoid saving incomplete order.
BS-WF18,Buy book with valid details,Complex,Book Purchase,Open /User_Buy_Book; fill valid book/order details; submit using /user_Save_Buy_Book,Application should save order or show successful purchase/order response.
BS-WF19,Open order details page,Simple,Order Management,Open /Order_Details; verify order details page loads,Order details page should display order list/details or safe empty state.
BS-WF20,User book browsing to order details end-to-end,Complex,End-to-End User Workflow,Open user home; open user books; search/select book; open buy book page; open order details,"Complete user workflow should navigate through book browsing, purchase, and order detail pages without application crash."
BS-WF21,Open admin home page,Simple,Admin Navigation,Open /Admin_Home; verify admin dashboard page loads,Admin home page should show admin navigation options.
BS-WF22,Open book management page,Simple,Admin Book Management,Open /Book_Management; verify book management options are visible,Book management page should display add/delete/select operation options.
BS-WF23,Select admin book operation,Medium,Admin Book Management,Open /Book_Management; select an operation using /selectoperation,Application should navigate to correct add/delete/book details operation page.
BS-WF24,Add book with empty details,Medium,Admin Validation,Open /Book_Management; access add book operation; submit /book_Add without required fields,Application should validate missing book fields or avoid adding incomplete book.
BS-WF25,Add book with valid details,Complex,Admin Book Management,Open /Book_Management; fill valid book details; submit /book_Add,Application should save new book or show successful add-book response.
BS-WF26,Delete book with invalid book id/details,Medium,Admin Book Management,Open /Book_Management; submit /book_Delete with invalid book id/details,Application should handle invalid delete safely without crash.
BS-WF27,Delete book with valid book id/details,Complex,Admin Book Management,Open /Book_Management; submit /book_Delete with valid existing book details,Application should delete selected book or show successful delete response.
BS-WF28,Open admin book details page,Simple,Admin Reporting,Open /Book_Details; verify book details/admin list page loads,Admin book details page should display available book records or safe empty state.
BS-WF29,Open admin user details page,Simple,Admin Reporting,Open /User_Details; verify user details page loads,Admin user details page should display user records or safe empty state.
BS-WF30,Open admin order details page,Simple,Admin Reporting,Open /Admin_Order_Details; verify admin order details page loads,Admin order details page should display order records or safe empty state.
