workflow_id,workflow_name,workflow_requirement,workflow_category,workflow_complexity,workflow_steps,expected_semantic_oracle
HD-WF01,Open tickets page and verify empty ticket list,Verify HelpDesk Tickets page loads and shows ticket table or empty message.,,,,
HD-WF02,Create a General medium priority ticket,"Create a ticket with General category, Medium priority, Open status, and verify it appears in list.",,,,
HD-WF03,Create a Software high priority ticket,"Create a Software category ticket with High priority and verify list contains title, requester, priority, and status.",,,,
HD-WF04,Create a Hardware critical ticket,Create a Hardware category ticket with Critical priority and verify it is displayed correctly.,,,,
HD-WF05,Create a Network low priority ticket,Create a Network category ticket with Low priority and verify successful save.,,,,
HD-WF06,Create an Account ticket,Create an Account category ticket and verify the category appears in ticket list.,,,,
HD-WF07,View ticket details,"Create a ticket, open View action, and verify title, requester, category, priority, status, and description.",,,,
HD-WF08,Edit ticket title,"Create a ticket, edit its title, save it, and verify the updated title appears in the list.",,,,
HD-WF09,Edit ticket requester,"Create a ticket, edit requester name, save, and verify updated requester.",,,,
HD-WF10,Edit ticket category,"Create a ticket, change category from General to Software, save, and verify category update.",,,,
HD-WF11,Edit ticket priority,"Create a ticket, change priority from Medium to High, save, and verify priority update.",,,,
HD-WF12,Edit ticket description,"Create a ticket, update description, view ticket details, and verify updated description.",,,,
HD-WF13,Mark ticket as In Progress from list,"Create an Open ticket, click Progress action, and verify status becomes In Progress.",,,,
HD-WF14,Close ticket from list,"Create a ticket, click Close action, and verify status becomes Closed.",,,,
HD-WF15,Reopen closed ticket from list,"Create a ticket, close it, reopen it, and verify status becomes Open.",,,,
HD-WF16,Mark ticket In Progress from details page,"Create a ticket, view details, click Mark In Progress, and verify status update.",,,,
HD-WF17,Close ticket from details page,"Create a ticket, view details, close it, and verify Closed status.",,,,
HD-WF18,Reopen ticket from details page,"Create a ticket, close it, open details, reopen it, and verify Open status.",,,,
HD-WF19,Search ticket by exact title,"Create a ticket, search using exact title, and verify matching ticket appears.",,,,
HD-WF20,Search ticket by partial title,"Create a ticket with unique title, search using partial keyword, and verify matching ticket appears.",,,,
HD-WF21,Search with non-existing keyword,Search using a keyword that does not match any ticket and verify No tickets found.,,,,
HD-WF22,Filter Open tickets,"Create Open and Closed tickets, click Open Tickets filter, and verify only Open tickets are shown.",,,,
HD-WF23,Filter In Progress tickets,"Create a ticket, mark it In Progress, filter In Progress tickets, and verify it appears.",,,,
HD-WF24,Filter Closed tickets,"Create and close a ticket, filter Closed tickets, and verify it appears.",,,,
HD-WF25,Filter High priority tickets,"Create High and Low priority tickets, filter High Priority, and verify only High priority tickets appear.",,,,
HD-WF26,Delete ticket from list,"Create a ticket, delete it from list, and verify the ticket title no longer appears.",,,,
HD-WF27,Create multiple tickets and verify table rows,Create three tickets with different categories and verify all appear in the table.,,,,
HD-WF28,Navigation from form back to list,"Open Create New Ticket form, click Back to Tickets, and verify HelpDesk Tickets page appears.",,,,
HD-WF29,Navigation from details back to list,"Create a ticket, open details, click Back to Tickets, and verify list page appears.",,,,
HD-WF30,Complete ticket lifecycle,"Create ticket, view details, edit priority, mark In Progress, close, reopen, and verify final Open status.",,,,
