record_id,project,workflow_id,model_provider,prompt_type,variant,generated_test_code_path,generated_code_text,code_char_length,code_line_count,assertion_count,ui_open_count,click_count,setvalue_count,sendkeys_count,selector_id_count,selector_xpath_count,selector_css_count,text_assertion_count,selenide_usage_count,selenium_usage_count,junit_usage_count,original_final_label,binary_label,binary_label_name,failure_taxonomy_label
HelpDeskApp_HD-WF39_P1_OpenAI_V02,HelpDeskApp,HD-WF39,OpenAI,P1,V02,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Compilation Error,0,Failure,Compilation Error
JPetStore6_JPS-WF25_P3_OpenAI_V02_R1,JPetStore 6,JPS-WF25,OpenAI,P3,2,<USER_HOME>/Desktop/Research1/generated_tests/JPetStore6_Rerun_R1/JPS-WF25/P3/OpenAI/JPS_WF25_P3_OpenAI_V02_R1_IT.java,"package org.mybatis.jpetstore;

import static com.codeborne.selenide.Condition.empty;
import static com.codeborne.selenide.Condition.text;
import static com.codeborne.selenide.Configuration.browser;
import static com.codeborne.selenide.Configuration.baseUrl;
import static com.codeborne.selenide.Configuration.headless;
import static com.codeborne.selenide.Configuration.timeout;
import static com.codeborne.selenide.Selenide.$;
import static com.codeborne.selenide.Selenide.open;
import static com.codeborne.selenide.Selenide.title;
import static org.assertj.core.api.Assertions.assertThat;

import java.util.concurrent.TimeUnit;

import org.junit.jupiter.api.BeforeAll;
import org.junit.jupiter.api.Test;
import org.openqa.selenium.By;

import com.codeborne.selenide.Selenide;

public class JPS_WF25_P3_OpenAI_V2_IT {

    @BeforeAll
    static void setup() {
        browser = ""CHROME"";
        headless = true;
        timeout = TimeUnit.SECONDS.toMillis(10);
        baseUrl = ""htt<LOCAL_PATH>"";
    }

    @Test
    void checkoutAfterLogin_shouldLoadCheckoutFormAndPreserveCartItem() {
        open(""/"");

        assertThat(title()).isEqualTo(""JPetStore Demo"");
        $(By.cssSelector(""#Content h2"")).shouldBe(text(""Welcome to JPetStore 6""));

        $(By.linkText(""Enter the Store"")).click();
        $(By.id(""WelcomeContent"")).shouldBe(empty);
        $(By.cssSelector(""#Catalog h2"")).shouldBe(text(""Fish""));

        $(By.linkText(""Sign In"")).click();
        $(By.id(""Catalog"")).shouldBe(text(""Please enter your username and password.""));

        $(By.name(""username"")).setValue(""j2ee"");
        $(By.name(""password"")).setValue(""j2ee"");
        $(By.cssSelector(""input[type='submit']"")).click();

        $(By.cssSelector(""#WelcomeContent"")).shouldBe(text(""Welcome ABC""));

        $(By.linkText(""Fish"")).click();
        $(By.cssSelector(""#Catalog h2"")).shouldBe(text(""Fish""));

        $(By.linkText(""FI-SW-01"")).click();
        $(By.cssSelector(""#Catalog"")).shouldBe(text(""Angelfish""));

        $(By.cssSelector(""a.button"")).click();

        $(By.linkText(""Proceed to Checkout"")).click();
        $(By.cssSelector(""#Content"")).shouldBe(text(""Please verify that the information below is correct.""));

        $(By.cssSelector(""#Cart"")).shouldBe(text(""Angelfish""));
        $(By.cssSelector(""#Cart"")).shouldBe(text(""EST-1""));
        $(By.cssSelector(""#Cart"")).shouldBe(text(""10.00""));

        $(By.cssSelector(""input[type='submit']"")).click();
        $(By.cssSelector(""#Catalog"")).shouldBe(text(""Payment Details""));
    }
}",2561,70,16,1,8,2,0,12,0,35,16,48,22,5,Compilation Error,0,Failure,Compilation Error
JPetStore6_JPS-WF26_P1_DeepSeek_V01,JPetStore 6,JPS-WF26,DeepSeek,P1,1,generated_tests/JPetStore6/JPS-WF26/P1/DeepSeek/JPS_WF26_P1_DeepSeek_V01_IT.java,"package org.mybatis.jpetstore;

import com.codeborne.selenide.Configuration;
import com.codeborne.selenide.SelenideElement;
import org.junit.jupiter.api.BeforeEach;
import org.junit.jupiter.api.Test;

import static com.codeborne.selenide.Condition.text;
import static com.codeborne.selenide.Condition.visible;
import static com.codeborne.selenide.Selenide.*;

public class JPS_WF26_P1_DeepSeek_V01_IT {

    @BeforeEach
    public void setUp() {
        Configuration.baseUrl = ""htt<LOCAL_PATH>"";
        Configuration.browser = ""chrome"";
        Configuration.headless = false;
        Configuration.timeout = 10000;
    }

    @Test
    public void testCompleteCheckoutOrderConfirmation() {
        // Step 1: Open the JPetStore application
        open(""/jpetstore"");

        // Step 2: Navigate to Sign In page
        $(""a[href*='signonForm']"").shouldBe(visible).click();

        // Step 3: Login with valid credentials
        $(""#username"").shouldBe(visible).setValue(""j2ee"");
        $(""#password"").shouldBe(visible).setValue(""j2ee"");
        $(""input[name='signon']"").shouldBe(visible).click();

        // Verify successful login - welcome message should appear
        $(""div#WelcomeContent"").shouldBe(visible).shouldHave(text(""Welcome""));

        // Step 4: Navigate to a category (e.g., Fish)
        $(""div#QuickLinks a[href*='categoryId=FISH']"").shouldBe(visible).click();

        // Step 5: Select a product (e.g., Angelfish)
        $(""a[href*='productId=FI-SW-01']"").shouldBe(visible).click();

        // Step 6: Add item to cart
        $(""a[href*='addItemToCart']"").shouldBe(visible).click();

        // Verify item is in cart
        $(""div#Cart"").shouldBe(visible).shouldHave(text(""Shopping Cart""));

        // Step 7: Proceed to checkout
        $(""a[href*='checkout']"").shouldBe(visible).click();

        // Step 8: Verify we are on the payment page
        $(""div#PaymentInformation"").shouldBe(visible).shouldHave(text(""Payment Details""));

        // Step 9: Continue with default payment info
        $(""input[name='newOrder']"").shouldBe(visible).click();

        // Step 10: Verify shipping address page
        $(""div#ShippingAddress"").shouldBe(visible).shouldHave(text(""Shipping Address""));

        // Step 11: Continue with default shipping info
        $(""input[name='newOrder']"").shouldBe(visible).click();

        // Step 12: Verify order confirmation page
        $(""div#OrderConfirmation"").shouldBe(visible).shouldHave(text(""Order Confirmation""));

        // Step 13: Confirm the order
        $(""a[href*='confirmedOrder']"").shouldBe(visible).click();

        // Step 14: Verify final order confirmation page with order details
        $(""div#OrderConfirmation"").shouldBe(visible).shouldHave(text(""Order Confirmation""));
        $(""div#OrderConfirmation"").shouldHave(text(""Order #""));

        // Semantic oracle verification
        $(""div#OrderConfirmation"").shouldHave(text(""Total""));
        $(""div#OrderConfirmation"").shouldHave(text(""Status""));
    }
}
",3014,80,26,1,9,2,0,13,0,20,18,53,0,1,Runtime / Locator Error,0,Failure,Runtime / Locator Error
SpringPetClinic_SPC-WF25_P1_OpenAI_V01,Spring PetClinic,SPC-WF25,OpenAI,P1,1,generated_tests/SpringPetClinic/SPC-WF25/P1/OpenAI/SPC_WF25_P1_OpenAI_V01_IT.java,"package org.springframework.samples.petclinic;

import com.codeborne.selenide.Selenide;
import org.junit.jupiter.api.Test;

import static com.codeborne.selenide.Selenide.*;
import static com.codeborne.selenide.Condition.*;

public class SPC_WF25_P1_OpenAI_V01_IT {

    @Test
    public void verifyVeterinarianSpecialtiesAreShown() {
        // Open the application
        open(""/"");

        // Navigate to the Veterinarians page
        $(""a[href='/vets']"").click();

        // Verify that veterinarian names and specialties are visible
        $$("".vet"").shouldHaveSizeGreaterThan(0).forEach(vet -> {
            vet.$("".vet-name"").shouldBe(visible);
            vet.$("".vet-specialty"").shouldBe(visible);
        });
    }
}
",731,26,3,1,1,0,0,0,0,4,0,12,0,1,Compilation Error,0,Failure,Compilation Error
BookStore_BS-WF14_P2_DeepSeek_V04,BookStore,BS-WF14,DeepSeek,P2,4,generated_tests/BookStore/BS-WF14/P2/DeepSeek/BS_WF14_P2_DeepSeek_V04_IT.java,"package com.online.book.store;

import com.codeborne.selenide.Configuration;
import io.github.bonigarcia.wdm.WebDriverManager;
import com.codeborne.selenide.SelenideElement;
import org.junit.jupiter.api.BeforeAll;
import org.junit.jupiter.api.Test;

import static com.codeborne.selenide.Condition.*;
import static com.codeborne.selenide.WebDriverRunner.url;
import static com.codeborne.selenide.Selectors.*;
import static com.codeborne.selenide.Selenide.*;

public class BS_WF14_P2_DeepSeek_V04_IT {

    @BeforeAll
    static void configureChromeDriverForBookStore() {
        WebDriverManager.chromedriver().setup();
        System.setProperty(""webdriver.chrome.driver"",
                ""<USER_HOME>//.cache//selenium//chromedriver//win64//150.0.7871.124//chromedriver.exe"");
        Configuration.browser = ""chrome"";
        Configuration.headless = true;
        Configuration.baseUrl = ""htt<LOCAL_PATH>"";
        Configuration.timeout = 10000;
    }



    @BeforeAll
    public static void setUp() {
        Configuration.baseUrl = ""htt<LOCAL_PATH>"";
        Configuration.browserSize = ""1400x1000"";
        Configuration.timeout = 10000;
    }

    @Test
    public void testRateBookWorkflow() {
        // Step 1: Register a new test user
        open(""/User_Registration"");
        String uniqueEmail = ""testuser"" + System.currentTimeMillis() + ""@example.com"";
        String password = ""TestPass123"";

        // Fill registration form - adjust selectors based on actual form fields
        SelenideElement registrationForm = $(""form"");
        registrationForm.$(""input[name='email']"").setValue(uniqueEmail);
        registrationForm.$(""input[name='password']"").setValue(password);
        // Try to find name or other fields if present
        SelenideElement nameInput = registrationForm.$(""input[name='name']"");
        if (nameInput.exists()) {
            nameInput.setValue(""Test User"");
        }
        SelenideElement confirmPasswordInput = registrationForm.$(""input[name='confirmPassword']"");
        if (confirmPasswordInput.exists()) {
            confirmPasswordInput.setValue(password);
        }
        // Click submit button
        registrationForm.$(""input[type='submit'], button[type='submit']"").click();

        // Step 2: Login with the new user
        open(""/Login"");
        $(""#email"").setValue(uniqueEmail);
        $(""#password"").setValue(password);
        $(""input[value='Continue']"").click();

        // Wait for login to complete - should redirect to user home
        sleep(1000);
        
        // Step 3: Navigate to user books page
        open(""/User_Books"");
        sleep(1000);

        // Step 4: Search for a book to rate
        SelenideElement searchForm = $(""form"");
        if (searchForm.exists()) {
            SelenideElement searchInput = searchForm.$(""input[type='text'], input[name='search']"");
            if (searchInput.exists()) {
                searchInput.setValue(""book"");
                searchForm.$(""input[type='submit'], button[type='submit']"").click();
                sleep(1000);
            }
        }

        // Step 5: Click on a book to view details
        SelenideElement bookLink = $(""a[href*='Book_Details'], a[href*='book']"");
        if (bookLink.exists()) {
            bookLink.click();
            sleep(1000);
        }

        // Step 6: Rate the book
        // Check if we're on the book details page
        String currentUrl = url();
        if (currentUrl.contains(""Book_Details"") || currentUrl.contains(""book"")) {
            // Try to find rating form
            SelenideElement ratingForm = $(""form[action*='Rate_Book'], form"");
            if (ratingForm.exists()) {
                // Try different rating input types
                SelenideElement ratingSelect = ratingForm.$(""select[name='rating'], select"");
                if (ratingSelect.exists()) {
                    ratingSelect.selectOption(""4"");
                } else {
                    SelenideElement ratingInput = ratingForm.$(""input[name='rating'], input[type='number']"");
                    if (ratingInput.exists()) {
                        ratingInput.setValue(""4"");
                    }
                }
                // Submit rating
                ratingForm.$(""input[type='submit'], button[type='submit']"").click();
                sleep(1000);
            }
        }

        // Step 7: Verify rating was submitted
        // Check for success message or page content change
        String bodyText = $(""body"").getText();
        boolean ratingSuccess = bodyText.contains(""Rating"") || bodyText.contains(""rated"") || bodyText.contains(""success"");
        
        // Assert that we got some response (either success or validation)
        assert ratingSuccess || currentUrl.contains(""Rate_Book"") || currentUrl.contains(""Book_Details"") : 
               ""Rating submission should result in some page response"";

        // Step 8: Logout by navigating to home
        open(""/"");
        sleep(500);
    }
}
",5020,127,9,4,5,8,0,2,0,18,8,35,4,3,Runtime / Locator Error,0,Failure,Runtime / Locator Error
BookStore_BS-WF16_P1_DeepSeek_V02,BookStore,BS-WF16,DeepSeek,P1,2,generated_tests/BookStore/BS-WF16/P1/DeepSeek/BS_WF16_P1_DeepSeek_V02_IT.java,"package com.online.book.store;

import com.codeborne.selenide.Configuration;
import io.github.bonigarcia.wdm.WebDriverManager;
import com.codeborne.selenide.SelenideElement;
import org.junit.jupiter.api.BeforeAll;
import org.junit.jupiter.api.Test;

import static com.codeborne.selenide.Condition.*;
import static com.codeborne.selenide.WebDriverRunner.url;
import static com.codeborne.selenide.Selenide.*;

public class BS_WF16_P1_DeepSeek_V02_IT {

    @BeforeAll
    static void configureChromeDriverForBookStore() {
        WebDriverManager.chromedriver().setup();
        System.setProperty(""webdriver.chrome.driver"",
                ""<USER_HOME>//.cache//selenium//chromedriver//win64//150.0.7871.124//chromedriver.exe"");
        Configuration.browser = ""chrome"";
        Configuration.headless = true;
        Configuration.baseUrl = ""htt<LOCAL_PATH>"";
        Configuration.timeout = 10000;
    }



    @BeforeAll
    public static void setUp() {
        Configuration.baseUrl = ""htt<LOCAL_PATH>"";
        Configuration.browserSize = ""1400x1000"";
        Configuration.timeout = 10000;
    }

    @Test
    public void testSearchBookForBuying() {
        // Step 1: Navigate to User Buy Book page
        open(""/User_Buy_Book"");

        // Verify we are on the buy book page
        String currentUrl = url();
        assert currentUrl.contains(""/User_Buy_Book"") : ""Expected to be on /User_Buy_Book page but was on: "" + currentUrl;

        // Step 2: Search for a book using the search functionality
        // The search form likely has an input field and a submit button
        // Try to find search input by common attributes
        SelenideElement searchInput = $(""input[name='search'], input[type='text'], input[placeholder*='search'], input[placeholder*='Search'], input#search, input[name='bookName'], input[name='title']"");
        
        if (searchInput.exists()) {
            // Enter a search term - use a common book title that might exist
            searchInput.setValue(""Harry Potter"");
            
            // Find and click the search button
            SelenideElement searchButton = $(""input[type='submit'], button[type='submit'], button:contains('Search'), input[value*='Search'], input[value*='search'], button:has-text('Search')"");
            
            if (searchButton.exists()) {
                searchButton.click();
            } else {
                // Try pressing Enter as fallback
                searchInput.pressEnter();
            }
        } else {
            // If no search input found, try alternative approach - check for any form
            SelenideElement form = $(""form"");
            if (form.exists()) {
                // Try to find any text input in the form
                SelenideElement formInput = form.$(""input[type='text']"");
                if (formInput.exists()) {
                    formInput.setValue(""Harry Potter"");
                    formInput.pressEnter();
                }
            }
        }

        // Step 3: Verify the search results
        // Wait for results to load
        sleep(2000);

        // Check current URL - should contain the search endpoint
        String resultUrl = url();
        boolean isSearchResult = resultUrl.contains(""/user_Search_Buy_Book"") || 
                                 resultUrl.contains(""/User_Buy_Book"") ||
                                 resultUrl.contains(""search"");
        
        // Assert that we are on a search results page or still on buy book page
        assert isSearchResult : ""Expected search results page but was on: "" + resultUrl;

        // Check page content for results or no-result message
        String pageText = $(""body"").getText().toLowerCase();
        
        // Either we have search results or a no-result message
        boolean hasResults = pageText.contains(""harry potter"") || 
                             pageText.contains(""book"") || 
                             pageText.contains(""result"") ||
                             pageText.contains(""found"") ||
                             pageText.contains(""available"") ||
                             pageText.contains(""no result"") ||
                             pageText.contains(""not found"") ||
                             pageText.contains(""no book"");
        
        assert hasResults : ""Page should contain either search results or a no-result message. Page text: "" + pageText;

        // Additional verification - check for common elements on the page
        // The page should have some content related to books or search
        boolean hasBookRelatedContent = $(""body"").has(text(""book"")) || 
                                        $(""body"").has(text(""Book"")) ||
                                        $(""body"").has(text(""search"")) ||
                                        $(""body"").has(text(""Search"")) ||
                                        $(""body"").has(text(""buy"")) ||
                                        $(""body"").has(text(""Buy""));
        
        assert hasBookRelatedContent : ""Page should contain book or search related content"";

        // Check for any table or list that might contain results
        boolean hasTableOrList = $(""table"").exists() || 
                                 $(""ul"").exists() || 
                                 $(""ol"").exists() ||
                                 $(""div[class*='result']"").exists() ||
                                 $(""div[id*='result']"").exists();
        
        // If there's a table, it likely contains search results
        if (hasTableOrList) {
            // Verify table/list has content
            SelenideElement container = $(""table, ul, ol, div[class*='result'], div[id*='result']"");
            assert container.exists() : ""Search results container should exist"";
            assert !container.getText().isEmpty() : ""Search results container should not be empty"";
        }

        // Final assertion - the page should be functional and display appropriate content
        assert !pageText.isEmpty() : ""Page should have content"";
        
        // Verify we can interact with the page further (e.g., click on a result if available)
        // Try to find any clickable element that might be a book link
        SelenideElement bookLink = $(""a[href*='book'], a[href*='Book'], a:contains('Harry'), a:contains('harry')"");
        if (bookLink.exists()) {
            // We found a clickable book link - this confirms search results are displayed
            assert bookLink.isDisplayed() : ""Book link should be visible"";
        }
    }
}
",6580,141,26,1,1,2,0,1,0,18,21,31,4,11,Runtime / Locator Error,0,Failure,Runtime / Locator Error
HD_DEEPSEEK_P2V2_02598,HelpDeskApp,HD-WF22,DeepSeek,P2,2,<USER_HOME>/Desktop/Research1/generated_tests/HelpDeskApp/HD-WF22/P2/DeepSeek/HDWF22_P2_DeepSeek_V02_IT.java,"package com.research.helpdesk;

import com.codeborne.selenide.Condition;
import com.codeborne.selenide.Configuration;
import com.codeborne.selenide.Selenide;
import com.codeborne.selenide.SelenideElement;
import org.junit.jupiter.api.BeforeAll;
import org.junit.jupiter.api.BeforeEach;
import org.junit.jupiter.api.Test;
import org.openqa.selenium.By;

import static com.codeborne.selenide.Selenide.*;
import static com.codeborne.selenide.Condition.*;
import static org.assertj.core.api.Assertions.assertThat;

import java.util.UUID;

public class HDWF22_P2_DeepSeek_V02_IT {

    @BeforeAll
    static void setUp() {
        Configuration.baseUrl = ""htt<LOCAL_PATH>"";
        Configuration.browser = ""chrome"";
        Configuration.headless = false; // set to true for CI
        Configuration.timeout = 5000;
    }

    @BeforeEach
    void clearData() {
        // Optionally delete all tickets via API or direct DB, but to avoid conflicts we use unique data.
    }

    @Test
    void testFilterOpenTickets() {
        // Unique identifiers to avoid conflicts
        String openTicketTitle = ""Open Ticket "" + UUID.randomUUID().toString().substring(0, 8);
        String closedTicketTitle = ""Closed Ticket "" + UUID.randomUUID().toString().substring(0, 8);

        // Step 1: Open main page and create an Open ticket
        open(""/tickets"");
        $(""#new-ticket-link"").shouldBe(visible).click();
        $(""#ticket-form"").shouldBe(visible);

        // Fill Open ticket form
        $(""#title"").shouldBe(visible).setValue(openTicketTitle);
        $(""#requester"").setValue(""John Doe"");
        $(""#category"").selectOption(""Software"");
        $(""#priority"").selectOption(""High"");
        $(""#status"").selectOption(""Open"");
        $(""#description"").setValue(""This is an open ticket."");
        $(""#save-ticket-button"").click();

        // Wait for redirect to /tickets and verify the ticket is listed
        $(""#tickets-table"").shouldBe(visible);
        $$(""#tickets-table tbody tr"").shouldHaveSize(1);
        assertThat($$(""#tickets-table tbody tr"").texts()).anyMatch(text -> text.contains(openTicketTitle));

        // Step 2: Create a Closed ticket
        open(""/tickets/new"");
        $(""#ticket-form"").shouldBe(visible);

        // Fill Closed ticket form
        $(""#title"").shouldBe(visible).setValue(closedTicketTitle);
        $(""#requester"").setValue(""Jane Doe"");
        $(""#category"").selectOption(""Hardware"");
        $(""#priority"").selectOption(""Low"");
        $(""#status"").selectOption(""Closed"");
        $(""#description"").setValue(""This is a closed ticket."");
        $(""#save-ticket-button"").click();

        // Wait for the main page with both tickets
        $(""#tickets-table"").shouldBe(visible);
        $$(""#tickets-table tbody tr"").shouldHaveSize(2);
        assertThat($$(""#tickets-table tbody tr"").texts())
                .anyMatch(text -> text.contains(openTicketTitle))
                .anyMatch(text -> text.contains(closedTicketTitle));

        // Step 3: Filter by Open tickets (navigate to route)
        open(""/tickets/status/Open"");

        // Step 4: Verify only Open ticket is shown
        $(""#tickets-table"").shouldBe(visible);
        $$(""#tickets-table tbody tr"").shouldHaveSize(1);

        // Check that the visible row contains the open ticket title and status Open
        SelenideElement row = $(""#tickets-table tbody tr"");
        row.shouldHave(text(openTicketTitle));
        row.shouldHave(text(""Open""));

        // Verify the closed ticket is NOT present
        assertThat($$(""#tickets-table tbody tr"").texts())
                .noneMatch(text -> text.contains(closedTicketTitle));

        // Optional: verify empty message is not displayed
        $(""#empty-message"").shouldNotBe(visible);
    }
}
",3776,98,25,3,3,6,0,28,0,28,4,51,0,7,Compilation Error,0,Failure,Compilation Error
HD_CLAUDE_P1V1_HDWF02,HelpDeskApp,HD-WF02,Claude,P1,1,<USER_HOME>/Desktop/Research1/generated_tests/HelpDeskApp/HD-WF02/P1/Claude/HDWF02_P1_Claude_V01_IT.java,"package com.research.helpdesk;

import com.codeborne.selenide.Condition;
import com.codeborne.selenide.Configuration;
import com.codeborne.selenide.SelenideElement;
import org.junit.jupiter.api.BeforeAll;
import org.junit.jupiter.api.Test;

import static com.codeborne.selenide.Selenide.*;
import static com.codeborne.selenide.Condition.*;

public class HDWF02_P1_Claude_V01_IT {

    @BeforeAll
    public static void setUp() {
        Configuration.baseUrl = ""htt<LOCAL_PATH>"";
        Configuration.timeout = 10000;
    }

    @Test
    public void testCreateGeneralMediumPriorityTicket() {
        open(""/"");

        String uniqueTitle = ""General Medium Ticket "" + System.currentTimeMillis();
        String uniqueDescription = ""This is a medium priority general ticket created at "" + System.currentTimeMillis();

        SelenideElement createButton = $x(""//button[contains(text(), 'Create') or contains(text(), 'New')]"");
        if (createButton.exists()) {
            createButton.click();
        } else {
            $(""#createTicket"").click();
        }

        SelenideElement titleField = $(""#title"");
        if (!titleField.exists()) {
            titleField = $(""input[name='title']"");
        }
        titleField.setValue(uniqueTitle);

        SelenideElement descriptionField = $(""#description"");
        if (!descriptionField.exists()) {
            descriptionField = $(""textarea[name='description']"");
        }
        descriptionField.setValue(uniqueDescription);

        SelenideElement categorySelect = $(""#category"");
        if (!categorySelect.exists()) {
            categorySelect = $(""select[name='category']"");
        }
        categorySelect.selectOption(""General"");

        SelenideElement prioritySelect = $(""#priority"");
        if (!prioritySelect.exists()) {
            prioritySelect = $(""select[name='priority']"");
        }
        prioritySelect.selectOption(""Medium"");

        SelenideElement statusSelect = $(""#status"");
        if (!statusSelect.exists()) {
            statusSelect = $(""select[name='status']"");
        }
        statusSelect.selectOption(""Open"");

        SelenideElement submitButton = $x(""//button[@type='submit' or contains(text(), 'Submit') or contains(text(), 'Create')]"");
        if (!submitButton.exists()) {
            submitButton = $(""#submitTicket"");
        }
        submitButton.click();

        sleep(1000);

        SelenideElement ticketList = $(""#ticketList"");
        if (!ticketList.exists()) {
            ticketList = $("".ticket-list"");
        }
        ticketList.shouldBe(Condition.visible);

        SelenideElement createdTicket = $x(""//td[contains(text(), '"" + uniqueTitle + ""')]"");
        if (!createdTicket.exists()) {
            createdTicket = $x(""//*[contains(text(), '"" + uniqueTitle + ""')]"");
        }
        createdTicket.shouldBe(Condition.visible);

        SelenideElement categoryCell = $x(""//td[contains(text(), '"" + uniqueTitle + ""')]/following-sibling::td[contains(text(), 'General')] | //td[contains(text(), '"" + uniqueTitle + ""')]/..//td[contains(text(), 'General')]"");
        if (!categoryCell.exists()) {
            categoryCell = $x(""//*[contains(text(), '"" + uniqueTitle + ""')]/ancestor::tr//*[contains(text(), 'General')]"");
        }
        categoryCell.shouldBe(Condition.visible);

        SelenideElement priorityCell = $x(""//td[contains(text(), '"" + uniqueTitle + ""')]/following-sibling::td[contains(text(), 'Medium')] | //td[contains(text(), '"" + uniqueTitle + ""')]/..//td[contains(text(), 'Medium')]"");
        if (!priorityCell.exists()) {
            priorityCell = $x(""//*[contains(text(), '"" + uniqueTitle + ""')]/ancestor::tr//*[contains(text(), 'Medium')]"");
        }
        priorityCell.shouldBe(Condition.visible);

        SelenideElement statusCell = $x(""//td[contains(text(), '"" + uniqueTitle + ""')]/following-sibling::td[contains(text(), 'Open')] | //td[contains(text(), '"" + uniqueTitle + ""')]/..//td[contains(text(), 'Open')]"");
        if (!statusCell.exists()) {
            statusCell = $x(""//*[contains(text(), '"" + uniqueTitle + ""')]/ancestor::tr//*[contains(text(), 'Open')]"");
        }
        statusCell.shouldBe(Condition.visible);
    }
}
",4212,103,29,1,3,2,0,8,0,14,24,38,0,1,Runtime / Locator Error,0,Failure,Runtime / Locator Error
HelpDeskApp_HD-WF48_P1_OpenAI_V02,HelpDeskApp,HD-WF48,OpenAI,P1,V02,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Passed,1,Success,
HD_DEEPSEEK_P3V1_02641,HelpDeskApp,HD-WF05,DeepSeek,P3,1,<USER_HOME>/Desktop/Research1/generated_tests/HelpDeskApp/HD-WF05/P3/DeepSeek/HDWF05_P3_DeepSeek_V01_IT.java,"package com.research.helpdesk;

import com.codeborne.selenide.Condition;
import com.codeborne.selenide.Configuration;
import com.codeborne.selenide.Selenide;
import org.junit.jupiter.api.BeforeEach;
import org.junit.jupiter.api.Test;

import static com.codeborne.selenide.Selenide.*;
import static com.codeborne.selenide.Condition.*;

public class HDWF05_P3_DeepSeek_V01_IT {

    @BeforeEach
    public void setUp() {
        Configuration.baseUrl = ""htt<LOCAL_PATH>"";
        Configuration.timeout = 5000;
    }

    @Test
    public void testCreateNetworkLowPriorityTicket() {
        // Generate unique test data
        String uniqueSuffix = String.valueOf(System.currentTimeMillis());
        String ticketTitle = ""Network Issue - "" + uniqueSuffix;
        String requesterName = ""Jane Doe - "" + uniqueSuffix;
        String description = ""Low priority network connectivity problem."";

        // Open the create ticket page
        open(""/tickets/new"");
        // Verify that the ticket form is displayed
        $(""#ticket-form"").shouldBe(Condition.visible);

        // Fill in the form
        $(""#title"").setValue(ticketTitle);
        $(""#requester"").setValue(requesterName);
        $(""#category"").selectOption(""Network"");
        $(""#priority"").selectOption(""Low"");
        $(""#status"").selectOption(""Open""); // default but explicit
        $(""#description"").setValue(description);

        // Submit the form
        $(""#save-ticket-button"").click();

        // After saving, should be redirected to /tickets page
        // Verify the tickets table is visible
        $(""#tickets-table"").shouldBe(Condition.visible);
        // Verify that the empty message is not visible
        $(""#empty-message"").shouldNotBe(Condition.visible);

        // Verify that the newly created ticket appears in the table
        // Look for a row containing the unique title
        $(""#tickets-table"").shouldHave(Condition.text(ticketTitle));
    }
}
",1958,55,4,1,1,3,0,11,0,11,1,21,0,1,Passed,1,Success,
